stationname,latitude,longitude
E 33 St & 2 Ave,40.744,-73.9761
MacDougal St & Prince St,40.7271,-74.003
E 6 St & Avenue D,40.7223,-73.9767
W 45 St & 8 Ave,40.7593,-73.9886
Baltic St & 5 Ave,40.6796,-73.9785
11 Ave & W 59 St,40.7715,-73.9905
Marcus Garvey Blvd & Macon St,40.6826,-73.938
E 33 St & 5 Ave,40.7477,-73.9849
Adventures NYC,40.7738,-73.9712
Grand St & Havemeyer St,40.7129,-73.957
Union St & Nevins St,40.6791,-73.9877
Old Fulton St,40.7028,-73.9938
Willoughby Ave & Hall St,40.692,-73.9654
Richards St & Delavan St,40.6794,-74.0079
Front St & Gold St,40.7022,-73.9826
E 6 St & Avenue B,40.7245,-73.9819
Washington Ave & Park Ave,40.6961,-73.9675
E 13 St & Avenue A,40.7296,-73.9806
W 88 St & West End Ave,40.7903,-73.9772
Bus Slip & State St,40.7019,-74.0139
Cathedral Pkwy & Broadway,40.8042,-73.967
Bank St & Hudson St,40.7365,-74.0062
E 2 St & 2 Ave,40.725,-73.9907
Kiosk in a box Motivate,40.6467,-74.0163
E 76 St & 3 Ave,40.7722,-73.9584
W 39 St & 9 Ave,40.7565,-73.9937
Myrtle Ave & Lewis Ave,40.6968,-73.9376
Division St & Bowery,40.7141,-73.997
Broadway & W 53 St,40.7634,-73.9827
Broadway & W 39 St,40.753,-73.9872
Leonard St & Manhattan Ave,40.7215,-73.949
W 11 St & 6 Ave,40.7353,-73.998
E 37 St & Lexington Ave,40.7482,-73.9783
E 81 St & York Ave,40.7728,-73.9499
Lafayette St & E 8 St,40.7303,-73.9908
E 77 St & 3 Ave,40.7731,-73.9586
Water - Whitehall Plaza,40.7026,-74.0127
E 81 St & 3 Ave,40.7757,-73.9568
Union Ave & Jackson St,40.7161,-73.952
Warren St & Church St,40.7147,-74.0091
South End Ave & Liberty St,40.7115,-74.0158
Barclay St & Church St,40.7129,-74.0102
E 40 St & Madison Ave,40.7516,-73.9804
E 11 St & Broadway,40.7326,-73.9916
8 Ave & W 31 St,40.751,-73.9944
11 Ave & W 27 St,40.7514,-74.0052
Columbia St & Kane St,40.6876,-74.0016
E 51 St & 1 Ave,40.7546,-73.9659
Carlton Ave & Flushing Ave,40.6978,-73.9737
W 95 St & Broadway,40.7938,-73.9719
2 Ave & E 99 St,40.7863,-73.9455
E 106 St & 1 Ave,40.7893,-73.9396
Macon St & Nostrand Ave,40.681,-73.95
N 6 St & Bedford Ave,40.7175,-73.9585
W 92 St & Broadway,40.7921,-73.9739
KentAve&N7 St,40.7206,-73.9615
NYCBS Depot - SSP,40.6468,-74.0165
W 22 St & 10 Ave,40.7469,-74.0045
NYCBS Depot - DEL,40.7166,-73.9819
E 67 St & Park Ave,40.7678,-73.9659
Bressler,40.6465,-74.0166
14 St & 7 Ave,40.6638,-73.984
W 46 St & 11 Ave,40.7634,-73.9967
46 Ave & 5 St,40.7473,-73.9545
St Marks Pl & 1 Ave,40.7278,-73.9856
PABT Valet,40.759,-73.9938
Clinton St & Joralemon St,40.6924,-73.9934
Broadway & W 49 St,40.7607,-73.9845
Pershing Square North,40.7519,-73.9777
Liberty Light Rail,40.7112,-74.0557
3969.TEMP (Bike The Branches - Central Branch),40.7229,-73.9591
E 72 St & Park Ave,40.7712,-73.9641
E 77 St & Park Ave,40.7744,-73.9618
1 Ave & E 78 St,40.7714,-73.9535
E 102 St & 1 Ave,40.787,-73.9416
Perry St & Bleecker St,40.7354,-74.0048
Bayard St & Baxter St,40.716,-73.9997
Central Park W & W 96 St,40.7913,-73.9648
Avenue D & E 3 St,40.7208,-73.9779
Concord St & Bridge St,40.6977,-73.9848
