Clinton St & 4 Place,40.6783563,-74.00014502
Grove St PATH,40.7192789,-74.0424515
Berkeley Pl & 6 Ave,40.6765304,-73.97846879
Duane St & Greenwich St,40.71748752,-74.0104554
Henry St & W 9 St,40.6763744,-74.00324957
6 St & 7 Ave,40.6686627,-73.97988067
Pearl St & Hanover Square,40.7047177,-74.00926027
Hope St & Union Ave,40.71167351,-73.95141312
Broadway & W 36 St,40.75097711,-73.98765428
E 68 St & Madison Ave,40.7691572,-73.96703464
Broadway & W 51 St,40.76228826,-73.98336183
Columbia Heights & Cranberry St,40.70037867,-73.99548059
Kiosk in a box Deployment,40.70861098,-73.92850399
Bike in Movie Night | Prospect Park Bandshell,40.662987,-73.976918
Clinton St & Tillary St,40.696192,-73.991218
Leonard St & Church St,40.717571,-74.005549
W 106 St & Amsterdam Ave,40.8008363,-73.96644925
N 12 St & Bedford Ave,40.72079821,-73.95484712
E 16 St & Irving Pl,40.73524276,-73.98758561
E 106 St & Madison Ave,40.7934337,-73.94945003
10 St & 5 Ave,40.6686273,-73.98700053
Bank St & Washington St,40.7361967,-74.00859207
9 St & 44 Rd,40.74966,-73.9521
W 56 St & 10 Ave,40.768254,-73.988639
W 42 St & Dyer Ave,40.75898481,-73.99379969
E 31 St & 3 Ave,40.74394314,-73.97966069
E 33 St & 2 Ave,40.744023,-73.976056
MacDougal St & Prince St,40.72710258,-74.00297088
E 6 St & Avenue D,40.72228087,-73.97668709
W 45 St & 8 Ave,40.75929124,-73.98859651
Baltic St & 5 Ave,40.6795766,-73.97854971
11 Ave & W 59 St,40.771522,-73.990541
Marcus Garvey Blvd & Macon St,40.682601,-73.938037
E 33 St & 5 Ave,40.74765947,-73.98490707
Adventures NYC,40.77376867,-73.97116989
Grand St & Havemeyer St,40.71286844,-73.95698119
Union St & Nevins St,40.679098,-73.98765475
Old Fulton St,40.70277159,-73.99383605
Willoughby Ave & Hall St,40.69196035,-73.96536851
Richards St & Delavan St,40.6794327,-74.00785041
Front St & Gold St,40.70224,-73.982578
E 6 St & Avenue B,40.72453734,-73.98185424
Washington Ave & Park Ave,40.69610226,-73.96751037
E 13 St & Avenue A,40.72955361,-73.98057249
W 88 St & West End Ave,40.79025417,-73.9771834
Bus Slip & State St,40.701907,-74.013942
Cathedral Pkwy & Broadway,40.804213,-73.96699104
Bank St & Hudson St,40.73652889,-74.00618026
E 2 St & 2 Ave,40.72502876,-73.99069656
Kiosk in a box Motivate,40.6466779,-74.01630342
E 76 St & 3 Ave,40.77224854,-73.95842135
W 39 St & 9 Ave,40.75645824,-73.99372222
Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
Division St & Bowery,40.71413089,-73.9970468
Broadway & W 53 St,40.76344058,-73.98268129
Broadway & W 39 St,40.75299641,-73.98721619
Leonard St & Manhattan Ave,40.7215224,-73.94898266
W 11 St & 6 Ave,40.73532427,-73.99800419
E 37 St & Lexington Ave,40.748238,-73.978311
E 81 St & York Ave,40.7728384,-73.94989233
Lafayette St & E 8 St,40.73028666,-73.9907647
E 77 St & 3 Ave,40.77314236,-73.95856158
Water - Whitehall Plaza,40.70255065,-74.0127234
E 81 St & 3 Ave,40.77573034,-73.9567526
Union Ave & Jackson St,40.7160751,-73.952029
Warren St & Church St,40.71473993,-74.00910627
South End Ave & Liberty St,40.711512,-74.015756
Barclay St & Church St,40.71291224,-74.01020234
E 40 St & Madison Ave,40.75159368,-73.98043156
E 11 St & Broadway,40.73261787,-73.99158043
8 Ave & W 31 St,40.75096735,-73.99444208
11 Ave & W 27 St,40.751396,-74.005226
Columbia St & Kane St,40.68763155,-74.0016256
E 51 St & 1 Ave,40.75455731,-73.96592976
Carlton Ave & Flushing Ave,40.697787,-73.973736
W 95 St & Broadway,40.7937704,-73.971888
2 Ave & E 99 St,40.7862586,-73.94552579
E 106 St & 1 Ave,40.7892529,-73.93956237
Macon St & Nostrand Ave,40.68098339,-73.95004798
N 6 St & Bedford Ave,40.71745169,-73.95850939
W 92 St & Broadway,40.7921,-73.9739
KentAve&N7 St,40.72057658,-73.96150225
NYCBS Depot - SSP,40.646768,-74.01651
W 22 St & 10 Ave,40.74691959,-74.00451887
NYCBS Depot - DEL,40.716633,-73.981933
E 67 St & Park Ave,40.7678008,-73.96592081
Bressler,40.64653837,-74.01658773
