stationname,latitude,longitude
Kosciuszko St & Nostrand Ave,40.6907,-73.9513
Henry St & Atlantic Ave,40.6909,-73.9961
Schermerhorn St & Court St,40.691,-73.9918
Kosciuszko St & Tompkins Ave,40.6913,-73.9452
Atlantic Ave & Furman St,40.6917,-74
Washington Park,40.6918,-73.9737
Willoughby Ave & Hall St,40.692,-73.9654
Willoughby St & Fleet St,40.692,-73.9813
Duffield St & Willoughby St,40.6922,-73.9843
Soissons Landing,40.6923,-74.0149
Lawrence St & Willoughby St,40.6924,-73.9863
Clinton St & Joralemon St,40.6924,-73.9934
Fulton St & Adams St,40.6924,-73.9895
Lewis Ave & Kosciuszko St,40.6924,-73.9371
Adelphi St & Myrtle Ave,40.6931,-73.9718
Clinton Ave & Myrtle Ave,40.6933,-73.9689
Willoughby Ave & Walworth St,40.6933,-73.9538
Myrtle Ave & St Edwards St,40.6933,-73.977
Pulaski St & Marcus Garvey Blvd,40.6934,-73.9399
Emerson Pl & Myrtle Ave,40.6936,-73.9622
Cadman Plaza West & Montague St,40.6938,-73.9905
Willoughby Ave & Tompkins Ave,40.6943,-73.9463
Franklin Ave & Myrtle Ave,40.6945,-73.9581
Johnson St & Gold St,40.6947,-73.9836
Jay St & Tech Pl,40.6951,-73.9872
Hicks St & Montague St,40.6951,-73.996
Nostrand Ave & Myrtle Ave,40.6953,-73.9524
Myrtle Ave & Marcy Ave,40.6954,-73.9495
Clermont Ave & Park Ave,40.6957,-73.9713
Carlton Ave & Park Ave,40.6958,-73.9736
Cadman Plaza E & Tillary St,40.696,-73.9901
Washington Ave & Park Ave,40.6961,-73.9675
Park Ave & St Edwards St,40.6961,-73.978
Clinton St & Tillary St,40.6962,-73.9912
Throop Ave & Myrtle Ave,40.6962,-73.9437
Myrtle Ave & Lewis Ave,40.6968,-73.9376
Clark St & Henry St,40.6976,-73.9934
Concord St & Bridge St,40.6977,-73.9848
Carlton Ave & Flushing Ave,40.6978,-73.9737
Clinton Ave & Flushing Ave,40.6979,-73.9699
Nassau St & Navy St,40.6984,-73.9807
Park Ave & Marcus Garvey Blvd,40.6986,-73.9413
Brooklyn Bridge Park - Pier 2,40.6988,-73.9971
Tompkins Ave & Hopkins St,40.6996,-73.9471
Sands St & Navy St,40.6998,-73.9799
Cadman Plaza E & Red Cross Pl,40.6999,-73.9897
Union Ave & Wallabout St,40.7003,-73.9503
Columbia Heights & Cranberry St,40.7004,-73.9955
Henry St & Poplar St,40.7005,-73.9915
South St & Whitehall St,40.7012,-74.0123
York St & Jay St,40.7015,-73.9866
Broadway & Whipple St,40.7017,-73.9437
Bus Slip & State St,40.7019,-74.0139
Front St & Gold St,40.7022,-73.9826
Water - Whitehall Plaza,40.7026,-74.0127
Front St & Washington St,40.7026,-73.9894
Old Fulton St,40.7028,-73.9938
Pearl St & Anchorage Pl,40.7028,-73.9877
Humboldt St & Varet St,40.7032,-73.9406
South St & Gouverneur Ln,40.7036,-74.0067
Broad St & Bridge St,40.7037,-74.0117
Old Slip & Front St,40.7038,-74.0084
Lorimer St & Broadway,40.7041,-73.9482
Broadway & Battery Pl,40.7046,-74.0136
Pearl St & Hanover Square,40.7047,-74.0093
McKibbin St & Manhattan Ave,40.7051,-73.9441
Railroad Ave & Kay Ave,40.7053,-73.971
Front St & Maiden Ln,40.7053,-74.0061
Boerum St & Broadway,40.7054,-73.9498
Little West St & 1 Pl,40.7057,-74.0168
Leonard St & Boerum St,40.7058,-73.9464
Division Ave & Hooper St,40.7069,-73.9544
Division Ave & Marcy Ave,40.7071,-73.958
Maiden Ln & Pearl St,40.7071,-74.0073
William St & Pine St,40.7072,-74.0089
Kent Ave & S 11 St,40.7076,-73.9684
Montrose Ave & Bushwick Ave,40.7077,-73.9402
Expansion Warehouse 333 Johnson Ave,40.7077,-73.9345
Peck Slip & Front St,40.7079,-74.0017
Cliff St & Fulton St,40.7082,-74.0053
West Thames St,40.7083,-74.0171
Bedford Ave & S 9 St,40.7085,-73.9641
John St & William St,40.7086,-74.0072
Scholes St & Manhattan Ave,40.7087,-73.9449
Stagg St & Union Ave,40.7088,-73.951
Liberty St & Broadway,40.7091,-74.0104
Broadway & Roebling St,40.7092,-73.9606
S 4 St & Rodney St,40.7093,-73.9561
Fulton St & William St,40.7096,-74.0065
NJCU,40.7101,-74.0858
Broadway & Berry St,40.7104,-73.9653
Leonard St & Maujer St,40.7104,-73.9471
S 5 Pl & S 4 St,40.7105,-73.9609
Gold St & Frankfort St,40.7107,-74.0035
Market St & Cherry St,40.7108,-73.994
Fulton St & Broadway,40.7111,-74.0094
St James Pl & Pearl St,40.7112,-74.0002
Liberty Light Rail,40.7112,-74.0557
Catherine St & Monroe St,40.7112,-73.9968
